"id","targetSmiles","batchId","status","result","reactionCount","price","timedOut","startedAt","finishedAt","order","runningTime","targetMetadata"
"f28d4df1-a2aa-4240-bc77-41b34a1351fd","CCN1C=NC2=C1N=C1CCCCC1=C2C","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.215203475691975,1,1437.230585182024,TRUE,"""2024-07-09T11:59:38.010Z""","""2024-07-09T12:04:39.891Z""",659,301,"null"
"c0a6f5a8-aeca-4727-95e7-6214683b5883","CC(O)C(CC(C#N)C1=NSC=C1)C(F)(F)F","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.878126283151036,2,1238.537589099866,TRUE,"""2024-07-09T11:56:58.357Z""","""2024-07-09T12:04:25.078Z""",915,446,"null"
"7cb553fa-d21e-4ddf-aa2c-6ac04694a1dd","CCC1CC(C(N1)C1=CN=CN1)C1=COC=C1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.016224593672328,3,33.59888248635821,TRUE,"""2024-07-09T11:55:58.590Z""","""2024-07-09T12:07:41.020Z""",189,702,"null"
"8355c1e8-4040-4e7c-a34a-37d4c1466222","CCC(C)C1=NC(=CS1)N1N=CC(COC)=N1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.331356108725563,2,575,TRUE,"""2024-07-09T11:56:02.090Z""","""2024-07-09T12:06:24.903Z""",203,622,"null"
"34e3d0f7-7f90-4a6f-a0e1-df14e6db8cfa","CCC1(C#N)C(C)(O)COC1(C)C1=NC=CS1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.169606492637842,2,26,TRUE,"""2024-07-09T11:55:39.713Z""","""2024-07-09T12:00:49.662Z""",414,309,"null"
"3186da72-41ee-48d3-bcd9-651259168b79","CCCOC1=CN=C(N=C1)N(C)C1=CNC=C1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.258973820630513,6,74.75252542026806,FALSE,"""2024-07-09T11:55:39.172Z""","""2024-07-09T12:11:44.242Z""",584,965,"null"
"07974cf1-6165-4beb-ab2c-7823299097ad","CC1CCC(CC(O)C2=NN(C)C(C)=N2)CC1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",3.918648947689626,2,829.1706899799449,FALSE,"""2024-07-09T11:55:30.418Z""","""2024-07-09T12:09:10.448Z""",696,820,"null"
"40e4f948-7415-49ee-a27b-2939bb6c8ed1","CCCN1N=C2C(C)N(CC)CCC2=C1O","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.100569358785281,4,53.12683635634947,TRUE,"""2024-07-09T11:55:41.322Z""","""2024-07-09T12:07:05.655Z""",762,684,"null"
"af93fee6-b1a8-4540-bd95-6cd792b042dd","CCC(C1CCCC1)N(C)CC1CNCCN1","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.28030584228453,3,869.3626286286935,FALSE,"""2024-07-09T11:56:34.724Z""","""2024-07-09T12:11:49.940Z""",817,915,"null"
"0a091a65-1d1c-47c7-8a76-78da3f444f78","CC1C(CO)CC1C1=CC=CC(=C1)C#N","c4380d78-2a23-465e-84d3-940ebc0ba4ac","ok",4.342866142733969,2,786.5345330473878,FALSE,"""2024-07-09T11:55:33.715Z""","""2024-07-09T12:12:13.969Z""",823,1000,"null"
